geometry,phase,epoch,wss_mae,wss_rmse,wss_r2,wss_rel_error_pct,wss_correlation,wss_x_mae,wss_y_mae,wss_z_mae,pressure_mae,pressure_rmse,pressure_r2,pressure_rel_error_pct,pressure_correlation
AS5,systolic,9999,0.556064,1.400824,0.844737,31.919806,0.932858,0.476631,0.337401,0.209665,7.604286,11.645154,0.977009,5.614448,0.988839
AS5,diastolic,9999,0.249499,0.565993,0.579342,44.092775,0.807720,0.215888,0.112256,0.089345,3.545994,5.091886,0.884805,20.943885,0.945584
AD5,systolic,8598,0.163404,0.355949,0.936197,20.992222,0.968951,0.153984,0.096353,0.100546,5.697079,8.367195,0.935257,4.292101,0.969363
AD5,diastolic,8598,0.100399,0.153652,0.860000,21.091640,0.938323,0.090409,0.057899,0.057739,3.479627,4.587704,0.774969,40.137380,0.904143
PD5,systolic,8686,0.144448,0.302737,0.947976,18.982134,0.975358,0.134612,0.088349,0.087282,6.911187,9.419833,0.903718,4.958323,0.955505
PD5,diastolic,8686,0.085431,0.121510,0.843933,19.578878,0.935781,0.078633,0.046064,0.047633,3.651671,4.698842,0.806134,34.336135,0.913948
AS6,systolic,9799,0.093725,0.250153,0.954593,19.233995,0.977636,0.089581,0.055581,0.054769,6.718149,9.155265,0.875356,4.812961,0.945120
AS6,diastolic,9799,0.064737,0.084734,0.774718,20.333983,0.917493,0.058557,0.030208,0.031949,3.721625,4.766733,0.705167,50.665149,0.878866
AD6,systolic,8182,0.090128,0.210474,0.966789,15.983373,0.983661,0.082324,0.061155,0.058898,6.179050,8.800302,0.892063,4.574350,0.949932
AD6,diastolic,8182,0.065992,0.089683,0.840811,18.946118,0.941943,0.056256,0.035491,0.037418,3.804564,5.039294,0.504207,70.256275,0.815673
PD6,systolic,9999,0.092893,0.226079,0.962530,17.237225,0.981620,0.085206,0.058049,0.056155,7.424275,10.352799,0.850059,5.361075,0.932328
PD6,diastolic,9999,0.064572,0.084803,0.750176,19.778903,0.915900,0.055244,0.032601,0.033972,3.751857,4.857835,0.598326,61.443657,0.843229
