geometry,phase,epoch,wss_rel_l2,wss_correlation,wss_mae,wss_rmse,loss_total,loss_wss,loss_physics,res_mom_x,res_mom_y,res_mom_z,res_continuity,wss_r2,pressure_mae,pressure_rmse,pressure_r2,pressure_rel_error_pct
AS5,systolic,10000,0.415586,0.909807,0.200951,0.570323,1.922155,0.975804,0.343160,0.187175,0.192077,0.176643,0.212369,0.821189,7.514989,11.427318,0.978143,5.505028
AS5,diastolic,10000,0.481033,0.878536,0.074514,0.191154,0.934041,0.109620,0.067722,0.086878,0.079459,0.077965,0.069181,0.761954,3.476480,5.001886,0.888903,20.579310
AD5,systolic,9598,0.340848,0.938817,0.196082,0.443595,1.785279,0.590329,0.059520,0.093401,0.092801,0.093414,0.064712,,,,,
AD5,diastolic,9598,0.343333,0.931454,0.110504,0.191761,1.247184,0.110317,0.019427,0.054574,0.052538,0.051776,0.032940,,,,,
PD5,systolic,9686,0.325380,0.944347,0.188489,0.428849,2.179163,0.551734,0.053104,0.089078,0.088118,0.083456,0.061450,,,,,
PD5,diastolic,9686,0.322374,0.940744,0.098794,0.165705,1.633433,0.082375,0.013808,0.044083,0.044124,0.042909,0.026909,,,,,
AS6,systolic,10000,0.313643,0.948736,0.147294,0.423075,0.722795,0.536976,0.028388,0.066655,0.061913,0.063036,0.043693,0.899919,6.149172,8.296223,0.898517,4.360873
AS6,diastolic,10000,0.324010,0.935014,0.079834,0.139998,0.220910,0.058798,0.006237,0.029278,0.028963,0.029370,0.017052,0.873368,3.352091,4.279336,0.761906,45.493150
AD6,systolic,9182,0.327524,0.943961,0.167705,0.435818,1.246737,0.569812,0.035414,0.075892,0.069972,0.068686,0.049250,,,,,
AD6,diastolic,9182,0.347108,0.930044,0.096224,0.166253,0.697824,0.082920,0.009633,0.038423,0.034538,0.034740,0.026231,,,,,
PD6,systolic,10000,0.300443,0.953219,0.159570,0.403177,0.972274,0.487656,0.042300,0.081433,0.078047,0.080284,0.054604,0.908327,7.252352,10.056811,0.856980,5.207672
PD6,diastolic,10000,0.331056,0.933827,0.084212,0.145190,0.515035,0.063240,0.008402,0.035125,0.033936,0.033393,0.019792,0.871332,3.637418,4.701352,0.621874,59.582335
